date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:32:30	44/44	---M-Z	200	added ('OK')	text/plain	etag:%2218-56f1b0d825a40%22	http://supriyamakude.com/robots.txt		(from )
17:32:30	50441/50441	---M-Z	200	added ('OK')	text/html	date:Sat,%2001%20Dec%202018%2012:02:30%20GMT	http://supriyamakude.com/	C:/My%20Web%20Sites/Portfolio/supriyamakude.com/index.html	(from )
17:32:31	1437/1437	---M--	200	added ('OK')	image/png	etag:%2259d-57465580a20ab%22	http://supriyamakude.com/wp-content/themes/resumiwp/img/fav.png	C:/My%20Web%20Sites/Portfolio/supriyamakude.com/wp-content/themes/resumiwp/img/fav.png	(from http://supriyamakude.com/)
17:32:33	42/42	---MCZ	405	error ('Method%20Not%20Allowed')	text/plain	date:Sat,%2001%20Dec%202018%2012:02:32%20GMT	http://supriyamakude.com/xmlrpc.php	C:/My%20Web%20Sites/Portfolio/supriyamakude.com/xmlrpc.1.delayed	(from http://supriyamakude.com/)
17:32:33	1743/1743	---M-Z	200	added ('OK')	text/css	etag:%226cf-574655ff75e26-gzip%22	http://supriyamakude.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.0.3	C:/My%20Web%20Sites/Portfolio/supriyamakude.com/wp-content/plugins/contact-form-7/includes/css/stylesaead.css	(from http://supriyamakude.com/)
17:32:34	2069/2069	---M--	200	added ('OK')	application/rss+xml	etag:%2258b2b8dd951c12fbdfcf6df0b4f2e1bc%22	http://supriyamakude.com/feed/	C:/My%20Web%20Sites/Portfolio/supriyamakude.com/feed/index.html	(from http://supriyamakude.com/)
17:32:34	13819/13819	---M-Z	200	added ('OK')	text/css	etag:%2235fb-5746557e66246-gzip%22	http://supriyamakude.com/wp-content/themes/resumiwp/style.css?ver=4.9.8	C:/My%20Web%20Sites/Portfolio/supriyamakude.com/wp-content/themes/resumiwp/style5010.css	(from http://supriyamakude.com/)
17:32:36	1460/1460	---M--	200	added ('OK')	application/rss+xml	etag:%22dc99e98fa7b0ce8373c7f12427a89dbc%22	http://supriyamakude.com/comments/feed/	C:/My%20Web%20Sites/Portfolio/supriyamakude.com/comments/feed/index.html	(from http://supriyamakude.com/)
17:32:36	102897/102897	---M-Z	200	added ('OK')	text/css	etag:%221519106274%22	http://netdna.bootstrapcdn.com/bootstrap/3.0.2/css/bootstrap.min.css?ver=4.9.8	C:/My%20Web%20Sites/Portfolio/netdna.bootstrapcdn.com/bootstrap/3.0.2/css/bootstrap.min5010.css	(from http://supriyamakude.com/)
17:32:36	17780/17780	---M-Z	200	added ('OK')	text/css	etag:%221518903977%22	http://netdna.bootstrapcdn.com/font-awesome/4.0.3/css/font-awesome.min.css?ver=4.9.8	C:/My%20Web%20Sites/Portfolio/netdna.bootstrapcdn.com/font-awesome/4.0.3/css/font-awesome.min5010.css	(from http://supriyamakude.com/)
17:32:37	379/379	---M-Z	200	added ('OK')	text/css	etag:%2217b-574655801145f-gzip%22	http://supriyamakude.com/wp-content/themes/resumiwp/css/prettify.min.css?ver=4.9.8	C:/My%20Web%20Sites/Portfolio/supriyamakude.com/wp-content/themes/resumiwp/css/prettify.min5010.css	(from http://supriyamakude.com/)
17:32:38	959/959	---M-Z	200	added ('OK')	text/css	etag:%223bf-5746557ffeb17-gzip%22	http://supriyamakude.com/wp-content/themes/resumiwp/css/superslides.min.css?ver=4.9.8	C:/My%20Web%20Sites/Portfolio/supriyamakude.com/wp-content/themes/resumiwp/css/superslides.min5010.css	(from http://supriyamakude.com/)
17:32:38	45558/45558	---M-Z	200	added ('OK')	text/css	etag:%22b1f6-57465580030bd-gzip%22	http://supriyamakude.com/wp-content/themes/resumiwp/css/animate.min.css?ver=4.9.8	C:/My%20Web%20Sites/Portfolio/supriyamakude.com/wp-content/themes/resumiwp/css/animate.min5010.css	(from http://supriyamakude.com/)
17:32:39	1180/1180	---M-Z	200	added ('OK')	text/css	etag:%2249c-57465580036f8-gzip%22	http://supriyamakude.com/wp-content/themes/resumiwp/css/owl.carousel.min.css?ver=4.9.8	C:/My%20Web%20Sites/Portfolio/supriyamakude.com/wp-content/themes/resumiwp/css/owl.carousel.min5010.css	(from http://supriyamakude.com/)
17:32:40	1159/1159	---M-Z	200	added ('OK')	text/css	etag:%22487-574655800e4e9-gzip%22	http://supriyamakude.com/wp-content/themes/resumiwp/css/owl.theme.min.css?ver=4.9.8	C:/My%20Web%20Sites/Portfolio/supriyamakude.com/wp-content/themes/resumiwp/css/owl.theme.min5010.css	(from http://supriyamakude.com/)
17:32:40	3699/3699	---M-Z	200	added ('OK')	text/css	etag:%22e73-574655800eb90-gzip%22	http://supriyamakude.com/wp-content/themes/resumiwp/css/owl.transitions.min.css?ver=4.9.8	C:/My%20Web%20Sites/Portfolio/supriyamakude.com/wp-content/themes/resumiwp/css/owl.transitions.min5010.css	(from http://supriyamakude.com/)
17:32:41	5956/5956	---M-Z	200	added ('OK')	text/css	etag:%221744-5746558004c73-gzip%22	http://supriyamakude.com/wp-content/themes/resumiwp/css/magnific-popup.min.css?ver=4.9.8	C:/My%20Web%20Sites/Portfolio/supriyamakude.com/wp-content/themes/resumiwp/css/magnific-popup.min5010.css	(from http://supriyamakude.com/)
17:32:42	1142/1142	---M-Z	200	added ('OK')	text/css	etag:%22476-574655800ba70-gzip%22	http://supriyamakude.com/wp-content/themes/resumiwp/css/superfish.min.css?ver=4.9.8	C:/My%20Web%20Sites/Portfolio/supriyamakude.com/wp-content/themes/resumiwp/css/superfish.min5010.css	(from http://supriyamakude.com/)
17:32:42	459/459	---M-Z	200	added ('OK')	text/css	etag:%221cb-5746558008a90-gzip%22	http://supriyamakude.com/wp-content/themes/resumiwp/css/megafolio-style.min.css?ver=4.9.8	C:/My%20Web%20Sites/Portfolio/supriyamakude.com/wp-content/themes/resumiwp/css/megafolio-style.min5010.css	(from http://supriyamakude.com/)
17:32:43	17902/17902	---M-Z	200	added ('OK')	text/css	etag:%2245ee-57465580083d9-gzip%22	http://supriyamakude.com/wp-content/themes/resumiwp/css/megafolio-settings.css?ver=2	C:/My%20Web%20Sites/Portfolio/supriyamakude.com/wp-content/themes/resumiwp/css/megafolio-settings77ae.css	(from http://supriyamakude.com/)
17:32:44	40693/40693	---M-Z	200	added ('OK')	text/css	etag:%229ef5-5746557ffdc92-gzip%22	http://supriyamakude.com/wp-content/themes/resumiwp/css/style.css?ver=13.0	C:/My%20Web%20Sites/Portfolio/supriyamakude.com/wp-content/themes/resumiwp/css/stylec31c.css	(from http://supriyamakude.com/)
17:32:44	7242/7242	---M-Z	200	added ('OK')	text/css	etag:%221c4a-574655800597f-gzip%22	http://supriyamakude.com/wp-content/themes/resumiwp/css/style-responsive.css?ver=5.0	C:/My%20Web%20Sites/Portfolio/supriyamakude.com/wp-content/themes/resumiwp/css/style-responsive5597.css	(from http://supriyamakude.com/)
